Biagrams,Frequency
"('regions', 'fulani')",1
"('herdsmen', 'un')",1
"('supposed', 'carry')",1
"('terrorist', 'bokoharm')",1
"('carry', 'cutlass')",1
"('cutlass', 'herdsmen')",1
"('north', 'south')",1
"('world', 'right')",1
"('group', 'world')",1
"('stevery', 'group')",1
"('development', 'herdsmen')",1
"('making', 'that')",1
"('bambiala', 'x98x82x98x82x98x82')",1
"('mosque', 'attack')",1
"('herdsmen', 'x9d')",1
"('lampard', 'herdsmen')",1
"('answer', 'question')",1
"('bokoharm', 'brothers')",1
"('asked', 'stevery')",1
"('brothers', 'repent')",1
"('repent', 'religion')",1
"('religion', 'extremists')",1
"('extremists', 'to')",1
"('question', 'asked')",1
"('attack', 'he')",1
"('fresh', 'benue')",1
"('soldiers', 'fresh')",1
"('villagers', 'soldiers')",1
"('abubakar', 'abdullahi')",1
"('x9d', ""'"")",1
"('imported', 'terrorists')",1
"('articulate', 'intelligent')",1
"('addressing', 'herdsmen')",1
"('lling', 'benue')",1
"('sahel', 'forgive')",1
"('hausa', 'language')",1
"('language', 'learn')",1
"('learn', 'sudan')",1
"('sudan', 'addressing')",1
"('bandits', 'm')",1
"('muslim', 'cleric')",1
"('everything', 'happen')",1
"('happen', 'naija')",1
"('naija', 'happen')",1
"('abdullahi', 'christians')",1
"('cleric', 'abubakar')",1
"('herdsmen', 'villagers')",1
"('christians', 'mosque')",1
"('terrorists', 'sahel')",1
"('exception', 'herdsmen')",1
"('forgive', 'government')",1
"('trained', 'protect')",1
"('nigerian', 'trained')",1
"('herdsmen', 'theregu')",1
"('nigeria', 'slaughter')",1
"('christians', 'continues')",1
"('continues', 'murdered')",1
"('fulani', 'jihadists')",1
"('jihadists', 'benue')",1
"('state', '')",1
"('theregu', ""'"")",1
"('thing', 'nigerian')",1
"('yearold', 'muslim')",1
"('meaning', 'reportage')",1
"('happen', 'yankeeith')",1
"('yankeeith', 'exception')",1
"('protect', 'fulani')",1
"('crisis', ""'"")",1
"('countries', 'sponsored')",1
"('``', 'plateau')",1
"('herdsmen', 'raided')",1
"('fulani', 'terro')",1
"('menfulani', 'herdsmen')",1
"('terrorists', 'names')",1
"('names', ""'"")",1
"('india', 'china')",1
"('plateau', 'women')",1
"('court', 'state')",1
"('women', 'protest')",1
"('protest', 'incessant')",1
"('fulani', 'demonic')",1
"('demonic', 'herdsmen')",1
"('uzodimma', 'making')",1
"('state', 'uzodimma')",1
"('right', 'self')",1
"('south', 'africainstead')",1
"('igbos', 'problem')",1
"('barracksamptations', 'offi')",1
"('herdsmen', 'sponsors')",1
"('heartless', 'terrorists')",1
"('centre', 'calamityfulani')",1
"('african', 'countries')",1
"('sponsored', 'governmenttate')",1
"('lalongumahisupreme', 'court')",1
"('governmenttate', 'sponsored')",1
"('sponsored', 'te')",1
"('yorubaland', 'centre')",1
"('calamityfulani', 'herdsme')",1
"('ruthless', 'heartless')",1
"('governorsimon', 'lalongumahisupreme')",1
"('couldn', 'articulate')",1
"('still', 'couldn')",1
"('epistle', 'still')",1
"('sponsors', 'h')",1
"('declare', 'terrorists')",1
"('children', 'media')",1
"('ancient', 'herdsmen')",1
"('ortom', 'proscribing')",1
"('attacked', 'ortom')",1
"('didn', 'evidence')",1
"('evidence', 'godour')",1
"('godour', 'invention')",1
"('invention', 'ancient')",1
"('another', 'example')",1
"('follows', 'barracks')",1
"('example', 'atiku')",1
"('farmersherders', 'clash')",1
"('write', 'farmersherders')",1
"('reportage', 'write')",1
"('police', 'barracksamptations')",1
"('barracks', 'police')",1
"('pandering', 'southndo')",1
"('terrorists', 'does')",1
"('learning', 'trade')",1
"(""''"", 'nigeria')",1
"('christians', 'april')",1
"('promises', 'gave')",1
"('april', 'women')",1
"('respect', 'rejected')",1
"('biafra', 'follows')",1
"('rejected', 'failed')",1
"('failed', 'deliver')",1
"('deliver', 'promises')",1
"('nigerian', 'infrastructures')",1
"('terrorising', 'territory')",1
"('infrastructures', 'biafra')",1
"('atiku', 'pandering')",1
"('southndo', 'atiku')",1
"('christians', 'e')",1
"('atiku', 'attacked')",1
"('territory', ""''"")",1
"('members', 'condemned')",1
"('alimajiris', 'whose')",1
"('religion', 'system')",1
"('nigeria', 'christians')",1
"('trial', 'would')",1
"('condemned', 'bokoharam')",1
"('bokoharam', 'brothers')",1
"('brothers', 'herdsmen')",1
"('herdsmen', 't')",1
"('system', 'trial')",1
"('pandering', 'atiku')",1
"('would', 'occurn')",1
"('arewa', 'members')",1
"('occurn', 'provides')",1
"('provides', 'christians')",1
"('useless', 'youthou')",1
"('atiku', 'tha')",1
"('proscribing', 'fulani')",1
"('k', '*')",1
"('china', 'south')",1
"('understand', 'fulani')",1
"('please', 'unnecessary')",1
"('xab', ""'"")",1
"('murdering', 'people')",1
"('trade', 'master')",1
"('master', 'alimajiris')",1
"('whose', 'school')",1
"('attacks', 'pandering')",1
"('school', 'do')",1
"('freely', 'murdering')",1
"('country', 'unchallenged')",1
"('expressways', 'xab')",1
"('atiku', 'refused')",1
"('refused', 'condemn')",1
"('herdsmen', 'block')",1
"('block', 'major')",1
"('unnecessary', 'propagandagbos')",1
"('blindfolded', 'noise')",1
"('hunting', 'grounds')",1
"('armed', 'herdsmenwhy')",1
"('terrorist', 'cells')",1
"('cooking', 'propaganda')",1
"('propagandagbos', 'killed')",1
"('killed', 'northerners')",1
"('northerners', 'igbos')",1
"('igbos', 'kil')",1
"('herdsmenwhy', 'armed')",1
"('grounds', 'called')",1
"('armed', 'terroristsarmed')",1
"('terroristsarmed', 'herds')",1
"('herds', 'ca')",1
"(""n't"", 'attack')",1
"('attack', 'peo')",1
"('called', 'expressways')",1
"('major', 'road')",1
"('rajsthan', 'region')",1
"('atriafargt', 'ahar/aher/ahir/ayar/afarnear')",1
"('propaganda', 'drive')",1
"('police', 'questioned')",1
"('think', 'f')",1
"('kaduna', 'stateshat')",1
"('x98x80same', 'ikpeazu')",1
"('ikpeazu', 'blindfolded')",1
"('noise', 'fulani')",1
"('herdsmen', 'hunting')",1
"('rescue', 'sudan')",1
"('nigeria', 'slaughtered')",1
"('stateshat', 'safety')",1
"('nnamdi', 'think')",1
"('would', 'transit')",1
"('transit', 'herdsmen')",1
"('really', 'understand')",1
"('angwan', 'barau')",1
"('questioned', 'delta')",1
"('punch', 'gunmen')",1
"('family', 'memberare')",1
"('igbos', 'start')",1
"('cells', 'african')",1
"('drive', 'x98x80same')",1
"('delta', 'state')",1
"('state', 'deputy')",1
"('deputy', 'speaker')",1
"('speaker', 'fulani')",1
"('start', 'playing')",1
"('memberare', 'smarter')",1
"('playing', 'tribal')",1
"('tribal', 'cards')",1
"('cards', 'monopoly')",1
"('monopoly', 'madnessvacuate')",1
"('madnessvacuate', 'on')",1
"('smarter', 'nnamdi')",1
"('benue', 'peoplewhat')",1
"('peoplewhat', 'wronghaba')",1
"('corruption', ""'"")",1
"(""''"", 'fixed')",1
"('sirx8fx8fxbe', 'benue')",1
"('benue', 'gunmen')",1
"('wronghaba', ""''"")",1
"('todayx99s', 'punch')",1
"('gunmen', 'miners')",1
"('postre', 'family')",1
"('miners', 'plateau')",1
"('plateau', 'armed')",1
"('gunmen', 'abduct')",1
"(""'re"", 'sirx8fx8fxbe')",1
"('abduct', '')",1
"('d1otic', 'postre')",1
"('ahar/aher/ahir/ayar/afarnear', 'rajsthan')",1
"('kshatriyaafrigt', 'atriafargt')",1
"('road', ""''"")",1
"('benue', 'statearmers')",1
"('statearmers', 'lynched')",1
"('remaining', 'balance')",1
"('bright', 'futureool')",1
"('hungry', 'onesoon')",1
"('lynched', 'herdsmen')",1
"('herdsmen', 'jus')",1
"('breeders', 'vil')",1
"('state', 'weekr')",1
"('weekr', 'bright')",1
"('futureool', ""'"")",1
"('dividebetter', 'herdsmen')",1
"('what', 'difference')",1
"('difference', 'colour')",1
"('colour', 'minethere')",1
"('brics=brazil', 'russia')",1
"('how', ""'re"")",1
"('herdsmen', 'about')",1
"('concerns', 'brics')",1
"('onesoon', 'fulani')",1
"('barau', 'communities')",1
"('communities', 'kokona')",1
"('rigved', 'farmer')",1
"('looted', 'bec')",1
"('comingif', 'benue')",1
"('everything', 'remaining')",1
"('balance', 'foreign')",1
"('russia', 'india')",1
"('foreign', 'reserve')",1
"('reserve', 'looted')",1
"('joined', 'together')",1
"('according', 'rigved')",1
"('together', 'amotekun')",1
"('amotekun', 'dividebetter')",1
"('brics', 'brics=brazil')",1
"('xa3adamumuwhat', 'concerns')",1
"('keyword', 'kshatriyaafrigt')",1
"('herdsmen', 'panchjanya/panch')",1
"('panchjanya/panch', 'kshatriya/panch')",1
"('region', 'harbouring')",1
"('better', ""'"")",1
"('herdsmen', 'comingif')",1
"('kshatriya/panch', 'nand')",1
"('times', 'fulani')",1
"('herdsmen', 'haramon')",1
"('haramon', 'foolishou')",1
"('foolishou', 'better')",1
"('defense', 'house')",1
"('victims', 'herdsmen/terrorists')",1
"('house', 'defend')",1
"('defend', 'nigerians')",1
"('nigerians', 'bandit')",1
"('haram', 'minute')",1
"('attacks', 'inxa0bayelsa')",1
"('herdsmen/terrorists', 'attacks')",1
"('people', 'britain')",1
"('``', 'black')",1
"('ashame', 'arrest')",1
"('mauled', 'dow')",1
"('etchich', 'country')",1
"('people', 'threaten')",1
"('black', ""''"")",1
"(""''"", 'pe')",1
"('harbouring', 'haram')",1
"('refused', 'arrest')",1
"('herdsmen', 'worriedo')",1
"('worriedo', 'people')",1
"('threaten', ""'"")",1
"('terror', 'etchich')",1
"('refused', 'extradition')",1
"('extradition', 'refused')",1
"('herdsmen', 'iswa')",1
"('kidnapped', 'fulani')",1
"('official', 'statement')",1
"('country', 'bui')",1
"('herdsmen', 'coming')",1
"('another', 'years')",1
"('limited', 'middle')",1
"('farmers', 'mauled')",1
"('coming', 'known')",1
"('known', 'peopleok')",1
"('saying', 'itx99s')",1
"('terror', 'activities')",1
"('activities', 'limited')",1
"('middle', 'nigeria')",1
"('hatred', 'ndigbo')",1
"('nigeria', 'eastern')",1
"('eastern', 'west')",1
"('citizens', 'asked')",1
"('cautionpeopleburiedon', 'massburialinsouthernkaduna')",1
"('fulanization', 'terror')",1
"('years', 'killing')",1
"('killing', 'fulanization')",1
"('asked', 'farmers')",1
"('hearorseeitonanynigeria', 'nationaltvorint')",1
"('minethere', '``')",1
"('farmer', 'inside')",1
"('tourist', 'attraction')",1
"('assassinationhich', 'herdsmen')",1
"('impressive', 'buachaille')",1
"('buachaille', 'etive')",1
"('etive', 'iconic')",1
"('iconic', 'scottish')",1
"('scottish', 'tourist')",1
"('attraction', 'glencoeeaning')",1
"('force', 'people')",1
"('glencoeeaning', '``')",1
"('``', 'great')",1
"('great', 'herdsmen')",1
"('massburialinsouthernkaduna', 'lastweekendanducannever')",1
"('lastweekendanducannever', 'hearorseeitonanynigeria')",1
"('inside', 'cla')",1
"('misgovernment', 'maladministration')",1
"('belts', 'r')",1
"('would', 'fulani')",1
"('political', 'assassinationhich')",1
"('maladministration', 'fulani')",1
"('herdsmen', 'impunity')",1
"('impunity', 'fulfilment')",1
"('fulfilment', 'campaign')",1
"('campaign', 'promisesxe2')",1
"('herdsmen', 'soon')",1
"('reporters', 'yoruba')",1
"('mouthor', 'years')",1
"('manner', 'fulani')",1
"('fulani', 'cunningly')",1
"('cunningly', 'exploits')",1
"('exploits', 'yorubas')",1
"('clash', 'farmer')",1
"('government', 'area')",1
"('herdsmen', 'slaughterxa0134')",1
"('britain', 'fulani')",1
"('community', 'fiftyyearold')",1
"('court', 'decide')",1
"('exporting', 'struggle')",1
"(""n't"", 'kidnappers')",1
"('force', 'ca')",1
"('photo', 'labour')",1
"('years', 'citizens')",1
"('slaughterxa0134', 'christians')",1
"('farming', 'belts')",1
"('nigerians', 'ca')",1
"('kidnappers', 'terrorists')",1
"('country', 'herdsmen')",1
"('terrorists', 'herdsmenhe')",1
"('herdsmenhe', 'major')",1
"('major', 'farming')",1
"('herdsmen', 'enough')",1
"('hearing', 'yoruba')",1
"('friend', 'nobel')",1
"('nobel', 'laureate')",1
"('ought', 'herdsmeni')",1
"('herdsmen', 'force')",1
"('better', 'fighting')",1
"('chairman', 'benuexa0')",1
"('money', 'business')",1
"('business', 'ought')",1
"('start', 'hearing')",1
"('herdsmeni', 'trust')",1
"('laureate', 'exporting')",1
"('trust', 'that')",1
"('called', 'churches')",1
"('churches', 'caused')",1
"('caused', 'damage')",1
"('damage', 'recent')",1
"('recent', 'years')",1
"('enough', 'nigerians')",1
"('jihadist', 'fighters')",1
"('barbaric', 'killings')",1
"('fighting', 'killed')",1
"('citing', 'persecution')",1
"('couple', 'citing')",1
"('guess', 'haram')",1
"('sleeping', 'haram')",1
"('haram', 'iswapherdsmen')",1
"('support', 'now')",1
"('fighters', 'worst')",1
"('x9cricex9d', 'friend')",1
"('worst', ""'"")",1
"('decide', 'support')",1
"('arrest', 'member')",1
"('bandits', 'catapaultiserable')",1
"('catapaultiserable', 'wazzock')",1
"('wazzock', ""'"")",1
"('years', 'country')",1
"('persecution', 'hands')",1
"('monday', 'always')",1
"('always', 'co')",1
"('application', 'ref')",1
"('developed', 'combatants')",1
"('killed', 'sleeping')",1
"('herdsmen', 'sought')",1
"('sought', 'asylum')",1
"('asylum', 'canadahe')",1
"('canadahe', 'application')",1
"('government', 'killed')",1
"('nigerian', 'couple')",1
"('killed', 'abacha')",1
"('abacha', 'did')",1
"('killings', 'haram')",1
"('haram', 'strikes')",1
"('strikes', 'scale')",1
"('scale', 'corruption')",1
"('member', 'despit')",1
"('government', 'amp6')",1
"('distracting', 'people')",1
"('violence', 'the')",1
"('continue', 'building')",1
"('monday', 'homei')",1
"('amp6', ""'"")",1
"('mocking', 'developed')",1
"('tinubu', 'going')",1
"('combatants', 'protect')",1
"('impression', 'monday')",1
"('protect', 't')",1
"('homei', 'sales')",1
"('benue', 'identified')",1
"('sales', 'monday')",1
"('monday', 'wherex99s')",1
"('wherex99s', 'impression')",1
"('yorubas', 'hatred')",1
"('ndigbo', 'terrorist')",1
"('building', 'bridges')",1
"('bridges', 'fulani')",1
"('granite', 'mouthor')",1
"('party', 'lea')",1
"('attacks', 'herdsm')",1
"('herdsmen', 'murdered')",1
"('murdered', 'labor')",1
"('powers', 'tha')",1
"('benue', 'stateay')",1
"('stateay', 'labor')",1
"('dealers', 'police')",1
"('x92x94x92x94x92x94', 'benue')",1
"('police', 'disturb')",1
"('disturb', 'businesshatever')",1
"('businesshatever', 'n')",1
"('nobody', 'power')",1
"('power', 'violence')",1
"('anyiin', 'ben')",1
"('herdsmen', 'pictures')",1
"('everyone', 'looks')",1
"('argue', 'visit')",1
"('dangerous', 'strain')",1
"('lagoshe', 'threat')",1
"('anthrax', 'originating')",1
"('center', 'disease')",1
"('disease', 'control')",1
"('control', 'months')",1
"('months', 'dangerous')",1
"('strain', 'anthrax')",1
"('herdsmen', 'comotf0x94')",1
"('originating', 'of')",1
"('people', 'lagoshe')",1
"('obviously', 'assassinationt')",1
"('assassinationt', 'almost')",1
"('almost', 'herdsmen')",1
"('herdsmen', 'everyone')",1
"('inside', 'fulani')",1
"('cultists', 'meeting')",1
"('political', 'killings')",1
"('benue', 'laugh')",1
"('visit', 'peo')",1
"('comotf0x94', ""'"")",1
"('nicompoopss', 'ca')",1
"(""n't"", 'track')",1
"('track', 'killer')",1
"('terrorizing', 'southern')",1
"('laugh', 'swahili')",1
"('meeting', 'inside')",1
"('swahili', ""''"")",1
"('exactly', 'x91x81xefxb8x8fneck')",1
"('x91x81xefxb8x8fneck', 'witnessed')",1
"('witnessed', 'whole')",1
"('whole', 'thingheir')",1
"('thingheir', 'official')",1
"('youthou', 'ca')",1
"('leader', 'be')",1
"('benue', 'statec')",1
"('issues', 'forefeiture')",1
"('herdsmen', 'xe8xadxe5xaf')",1
"('assassinationeave', 'herdsmen')",1
"('selling', 'slippers')",1
"('slippers', 'idum')",1
"('x92x94x92x94benue', 'identified')",1
"('anyiin', 'benue')",1
"('political', 'assassinationeave')",1
"('woman', 'leader')",1
"('herdsmen', 'thisthe')",1
"('sounds', 'granite')",1
"('thisthe', 'people')",1
"('murdered', 'kaduna')",1
"('kaduna', 'state')",1
"('state', 'woman')",1
"('repelling', 'attacks')",1
"(""''"", 'domestic')",1
"('domestic', 'support')",1
"('forefeiture', 'guniea')",1
"('herdsmen', 'resumed')",1
"('brooding', 'implications')",1
"('support', 'element')",1
"('element', 'never')",1
"('never', 'agreeince')",1
"('agreeince', 'pmb')",1
"('elections', 'herdsmen')",1
"('resumed', 'masters')",1
"('guniea', 'th')",1
"('masters', ""'"")",1
"(""'"", 'work')",1
"('work', ""''"")",1
"('thousands', 'xe7xbex8a')",1
"('xe7xbex8a', 'yxc3xa1ng')",1
"('yxc3xa1ng', 'guided')",1
"('people', 'repelling')",1
"('herdsmen', 'wreck')",1
"('injuring', 'eight')",1
"('resting', 'national')",1
"('jxc7x90ng', 'chxc3xa1')",1
"('terrorism', 'nigerian')",1
"('havoc', 'in')",1
"(""''"", 'hmmm')",1
"('hmmm', 'weeks')",1
"('weeks', 'brooding')",1
"('implications', 'terrorism')",1
"('local', 'issues')",1
"('nigerian', 'years')",1
"('knowenue', 'people')",1
"('years', 's')",1
"('usually', 'group')",1
"('group', 'ther')",1
"('herdsmen', 'local')",1
"('guided', 'herdsmen')",1
"('subdue', 'b')",1
"('people', 'shift')",1
"('security', 'haram')",1
"('labbeled', 'fulan')",1
"('wreck', 'havoc')",1
"('shift', 'blames')",1
"('blames', 'africa')",1
"('africa', 'x98xb9x98xb9ipob')",1
"('x98xb9x98xb9ipob', 'doings')",1
"('doings', 'labbeled')",1
"('never', 'managed')",1
"('haram', 'subdue')",1
"('managed', 'happening')",1
"('happening', 'backyard')",1
"('backyard', 'since')",1
"('since', 'joi')",1
"('political', 'assassins')",1
"('assassins', 's')",1
"('importing', 'fula')",1
"('escort', 'spring')",1
"('nigeriathey', 'importing')",1
"('think', 'herdsmen')",1
"('military', 'laidat')",1
"('~newsn', ""''"")",1
"('pastures', 'nw')",1
"('herdsmen', 'invades')",1
"('invades', 'killing')",1
"('killing', 'injuring')",1
"('others', '~newsn')",1
"('buhari', 'resting')",1
"(""''"", 'if')",1
"('spiritual', 'remote')",1
"('ridiculously', 'devaluing')",1
"(""'re"", 'fulani')",1
"('exactly', 'general')",1
"('general', 'buhari')",1
"('herdsmendey', 'play')",1
"('disturb', 'protesters')",1
"('protesters', 'gathering')",1
"('yearly', 'herdsmen')",1
"('already', 'people')",1
"('budgeting', 'yearly')",1
"('gathering', 'lekki')",1
"('lekki', 'tollgate')",1
"('tollgate', 'i')",1
"('herdsmen', 'boiling')",1
"('boiling', 'nigeria')",1
"('nigeria', 'in')",1
"('laidat', 'disturb')",1
"('tibet', 'currently')",1
"('currently', 'population')",1
"('since', 'pastor')",1
"('people', 'capita')",1
"('backyards', 'since')",1
"('capita', 'disposable')",1
"('remote', 'herdsmendey')",1
"('forget', 'haram')",1
"('disposable', 'income')",1
"('chxc3xa1', 'escort')",1
"('enugu', 'always')",1
"('election', 't')",1
"('stewpid', 'mindset')",1
"('mindset', 'country')",1
"('country', 'f')",1
"('conscience', 'tinubu')",1
"('tinubu', 'presidential')",1
"('presidential', 'election')",1
"('bushes', 'biafra')",1
"('income', 'yua')",1
"('biafra', 'protect')",1
"('protect', 'attack')",1
"('attack', 'fulani')",1
"('country', 'directly')",1
"('directly', 'budgeting')",1
"('always', 'helicopter')",1
"('herdsmen', 'benuexa0')",1
"('herdsmen', 'instead')",1
"('least', 'region')",1
"('herdsmen', 'islame2')",1
"('benuexa0', ""'"")",1
"('terrorists', 'indigenous')",1
"('people', 'biafrawe')",1
"('biafrawe', 'asking')",1
"('asking', 'for')",1
"('region', 'haram')",1
"('communitiessince', 'a')",1
"('herdsmen', 'school')",1
"('school', 'shooters')",1
"('shooters', ""'"")",1
"('generation', 'whatever')",1
"('whatever', 'predi')",1
"('herdsmen', 'communitiessince')",1
"('xe8xadxe5xaf', 'jxc7x90ng')",1
"('gowon', 'herdsmen')",1
"('finish', 'x98x82')",1
"('mouth', ""''"")",1
"('problem', 'whereas')",1
"('continue', 'herdsmenr')",1
"('north', 'finish')",1
"('dropped', 'fulani')",1
"('people', 'backyards')",1
"('autonomous', 'prefectur')",1
"('whose', 'brother')",1
"('brother', 'troops')",1
"('massacred', 'millions')",1
"('millions', 'igbos')",1
"('herdsmenr', 'mouth')",1
"('igbos', 'blood')",1
"('blood', 'wants')",1
"('wants', 'to')",1
"('haram', 'never')",1
"('whole', 'achievement')",1
"('buhari', 'whole')",1
"('think', 'igbos')",1
"('igbos', 'contributed')",1
"('wanton', 'property')",1
"('property', 'destructions')",1
"('achievement', 'embolden')",1
"('embolden', 'fulani')",1
"('fighting', 'buhari')",1
"('without', 'p')",1
"('contributed', 'money')",1
"('coming', 'think')",1
"('money', 'brother')",1
"('wasting', 'fighting')",1
"('ortom', 'wasting')",1
"('herdsmen', 'year')",1
"('year', ""'"")",1
"('fight', 'herdsmen')",1
"('never', 'north')",1
"('ethnically', 'motivated')",1
"('troops', 'massacred')",1
"('attacks', 'ethnically')",1
"('breaking', 'newsfulani')",1
"('think', 'attacks')",1
"('newsfulani', 'terrorists')",1
"('herdsmen', 'abduct')",1
"('abduct', 'residents')",1
"('residents', 'nigerian')",1
"('nigerian', 'capital')",1
"('abuja', 'midnight')",1
"('midnight', 'attac')",1
"('whereas', 'ances')",1
"('theyx99ve', 'created')",1
"('created', 'squad')",1
"('squad', 'branded')",1
"('branded', 'herdsmen')",1
"('people', 'think')",1
"('tribe', 'continue')",1
"('destructions', 'making')",1
"('terrorist', 'her')",1
"('better', 'banditsherdsmen')",1
"('capital', 'abuja')",1
"('haram', 'dominated')",1
"('making', 'communities')",1
"('communities', 'unsafe')",1
"('unsafe', 'purposely')",1
"('purposely', ""'"")",1
"('banditsherdsmen', 'haram')",1
"('stopping', 'protecting')",1
"('dominated', 'states')",1
"('military', 'interested')",1
"('states', 'farmers')",1
"('farmers', 'raped')",1
"('killed', 'dai')",1
"('secondly', 'stopping')",1
"('gunmen', 'wanton')",1
"('beheading', 'northerners')",1
"('committing', 'fulani')",1
"('government', 'committing')",1
"('nonsense', 'l')",1
"('northerners', 'everyday')",1
"('interested', 'protecting')",1
"('protecting', 'political')",1
"('political', 'elites')",1
"('elites', 'fulani')",1
"('never', 'energy')",1
"('energy', 'beheading')",1
"('herdsmen', 'nasarawa')",1
"('disgustinghow', 'people')",1
"('lives', ""''"")",1
"('clash', 'claims')",1
"('community', 'clash')",1
"('nasarawa', 'community')",1
"('everyday', 'fulani')",1
"('people', 'mourning')",1
"('barrister', 'hurried')",1
"('weeks', 'sacrifice')",1
"('biafra', 'nigeria')",1
"('government', 'benue')",1
"('terrorist', 'brothers')",1
"('brothers', 'started')",1
"('started', 'the')",1
"('pretending', 'happening')",1
"('happening', 'biafra')",1
"('government', 'using')",1
"('apapa', 'weeks')",1
"('using', 'the')",1
"('bring', 'fulani')",1
"('herdsmen', 'forbid')",1
"('forbid', 'thank')",1
"('thank', 'e')",1
"('herdsmen', 'apapa')",1
"('fulani', 'herdsmencan')",1
"('ochoche', 'has')",1
"('edikwun', 'local')",1
"('refer', 'truly')",1
"('hurried', 'census')",1
"('think', 'happening')",1
"('dance', 'latelytx99s')",1
"('latelytx99s', 'operation')",1
"('operation', 'tar')",1
"('please', 'refer')",1
"('truly', 'fulani')",1
"('census', 'couple')",1
"('party', 'edikwun')",1
"('sacrifice', ""'"")",1
"('youyour', 'colleagues')",1
"('colleagues', 'quite')",1
"('quite', 'crimes')",1
"('crimes', 'nigeria')",1
"('smile', 'snake')",1
"('xe1xbbx8dhxe1xbbx8ba', ""'"")",1
"('helicopter', 'dropped')",1
"('south', 'enugu')",1
"('masquerading', 'he')",1
"('within', 'hours')",1
"('hours', 'fulani')",1
"('attacked', 'several')",1
"('several', 'communities')",1
"('communities', 'south')",1
"('enugu', 'ond')",1
"('anxe1xbbxa5', 'xe1xbbx8dhxe1xbbx8ba')",1
"('insanehat', 'difference')",1
"('difference', 'criminal')",1
"('criminal', 'simon')",1
"('simon', 'fulani')",1
"('herdsmen', 'xe1xbbxa4mxe1xbbxa5')",1
"('xe1xbbxa4mxe1xbbxa5', 'anxe1xbbxa5')",1
"('emeka', 'selling')",1
"('concerned', 'silent')",1
"('threat', 'emeka')",1
"('equitable', 'nationot')",1
"('crocodile', 'smile')",1
"('silent', 'x87xacx87xa7/fulani')",1
"('couple', 'weeks')",1
"('weeks', 'i')",1
"('party', 'yearshat')",1
"('insane', 'think')",1
"('yearshat', 'don')",1
"('deeply', 'concerned')",1
"('putin', 'easterners')",1
"('snake', 'dance')",1
"('x87xacx87xa7/fulani', 'herdsmen')",1
"('jealous', 'oneou')",1
"('oneou', 'someone')",1
"('someone', 'dropped')",1
"('dropped', 'skye2')",1
"('mourning', 'and')",1
"('sense', 'arrest')",1
"('conspired', 'xb7')",1
"('pecks', 'eyes')",1
"('withif', 'herdsmen')",1
"('caught', 'news')",1
"('news', ""''"")",1
"('bandits', 'terroristsxa6ey')",1
"('terroristsxa6ey', 'remove')",1
"('remove', 'pecks')",1
"('eyes', ""'"")",1
"('herdsmen', 'conspired')",1
"('compromisedwhen', 'reduce')",1
"('reduce', 'reports')",1
"('herdsmen', 'attackndangering')",1
"('attackndangering', 'who')",1
"('basis', ""'"")",1
"('but', 'never')",1
"('x98xadx98xadbut', 'herdsmen')",1
"('connived', 'withif')",1
"('supported', 'peace')",1
"('peace', 'support')",1
"('arrest', 'parties')",1
"('years', 'northern')",1
"('school', 'definitely')",1
"('definitely', 'scamhe')",1
"('scamhe', 'proscribe')",1
"('proscribe', 'declareor')",1
"('declareor', 'information')",1
"('information', 'fulani')",1
"('herdsmen', 'connived')",1
"('xb7', 'common')",1
"('northern', 'muslim')",1
"('muslim', 'president')",1
"('president', 'people')",1
"('nationot', 'nonsense')",1
"('slaughter', 'daily')",1
"('operation', 'crocodile')",1
"('parties', 'involved')",1
"('heard', 'operation')",1
"('helping', 'farmers')",1
"('fulani', 'her')",1
"('never', 'sound')",1
"('sound', 'insulting')",1
"('insulting', 'nevertheless')",1
"('nevertheless', 'niger')",1
"('didn', 'marry')",1
"('herdsmen', 'bokoharamist')",1
"('horse', 'herdsmen')",1
"('bokoharamist', 'eitherx98x82x98x82x98x82x98x82')",1
"('eitherx98x82x98x82x98x82x98x82', ""'"")",1
"('macedonians', 'described')",1
"('described', 'frequently')",1
"('frequently', 'blondhey')",1
"('blondhey', 'horse')",1
"('easterners', 'nigeriathey')",1
"('special', 'techniquesf0x90xb4x90x8e')",1
"('silent', 'wickedness')",1
"('herdsmen', 'slaughtered')",1
"('iswapbhfulani', 'herdsm')",1
"('ancestors', 'saved')",1
"('skillful', 'herdsmen')",1
"('herdsmen', 'horseback')",1
"('horseback', 'northern')",1
"('northern', 'china')",1
"('china', 'special')",1
"('kaduna', 'becau')",1
"('buhari', 'can')",1
"('lmfao', 'ridiculously')",1
"('saved', 'youou')",1
"('youou', 'would')",1
"('would', 'cheated')",1
"('cheated', 'marrying')",1
"('marrying', 'youou')",1
"('devaluing', 'naira')",1
"('kinsmen', 'herdsmen')",1
"('housands', 'people')",1
"('carry', 'farms')",1
"('governmentomeone', 'kinsmen')",1
"('slaughtered', 'hundred')",1
"('hundred', 'southern')",1
"('southern', 'ka')",1
"('farmers', 'neither')",1
"('neither', 'carry')",1
"('farms', 'crops')",1
"('kaduna', 'p')",1
"('crops', 'fulani')",1
"('hypocrite', 'bloodsucking')",1
"('bloodsucking', 'herdsmen')",1
"('herdsmen', 'butchering')",1
"('butchering', 'displacing')",1
"('displacing', 'people')",1
"('youou', 'a')",1
"('nothing2inister', 'pe')",1
"('obviously', 'comprehension')",1
"('not', 'support')",1
